row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
91,"المركبات > سيارات دفع رباعي وبيك آب > Honda",Ridgeline,added,"Created subcategory id 44810",44810,Ridgeline,Ridgeline,honda-Off-Road-SUV-Pickup-Trucks-ridgeline,34005,1
92,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai",Creta,added,"Created subcategory id 44811",44811,Creta,Creta,hyundai-Off-Road-SUV-Pickup-Trucks-creta,34008,1
93,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai","Ioniq 7",added,"Created subcategory id 44812",44812,"Ioniq 7","Ioniq 7",hyundai-Off-Road-SUV-Pickup-Trucks-ioniq-7,34008,1
94,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai",Palisade,added,"Created subcategory id 44813",44813,Palisade,Palisade,hyundai-Off-Road-SUV-Pickup-Trucks-palisade,34008,1
95,"المركبات > سيارات دفع رباعي وبيك آب > Hyundai",Venue,added,"Created subcategory id 44814",44814,Venue,Venue,hyundai-Off-Road-SUV-Pickup-Trucks-venue,34008,1
96,"المركبات > سيارات دفع رباعي وبيك آب > Jeep",Gladiator,added,"Created subcategory id 44815",44815,Gladiator,Gladiator,jeep-Off-Road-SUV-Pickup-Trucks-gladiator,34013,1
97,"المركبات > سيارات دفع رباعي وبيك آب > Kia",EV5,added,"Created subcategory id 44816",44816,EV5,EV5,kia-Off-Road-SUV-Pickup-Trucks-ev5,34015,1
98,"المركبات > سيارات دفع رباعي وبيك آب > Kia",Seltos,added,"Created subcategory id 44817",44817,Seltos,Seltos,kia-Off-Road-SUV-Pickup-Trucks-seltos,34015,1
99,"المركبات > سيارات دفع رباعي وبيك آب > Kia",Telluride,added,"Created subcategory id 44818",44818,Telluride,Telluride,kia-Off-Road-SUV-Pickup-Trucks-telluride,34015,1
100,"المركبات > سيارات دفع رباعي وبيك آب > Lexus",TX,added,"Created subcategory id 44819",44819,TX,TX,lexus-Off-Road-SUV-Pickup-Trucks-tx,34019,1
101,"المركبات > سيارات دفع رباعي وبيك آب > MG",RX8,added,"Created subcategory id 44820",44820,RX8,RX8,mg-Off-Road-SUV-Pickup-Trucks-rx8,34026,1
102,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",BT-50,added,"Created subcategory id 44821",44821,BT-50,BT-50,mazda-Off-Road-SUV-Pickup-Trucks-bt-50,34024,1
103,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-30,added,"Created subcategory id 44822",44822,CX-30,CX-30,mazda-Off-Road-SUV-Pickup-Trucks-cx-30,34024,1
